"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"PTXP","PennTex Midstream Partners, LP","16.27","$662.42M","2015","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/ptxp",
"PEBO","Peoples Bancorp Inc.","32.28","$589.52M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/pebo",
"PEBK","Peoples Bancorp of North Carolina, Inc.","27.12","$146.93M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/pebk",
"PFBX","Peoples Financial Corporation","15.5","$79.41M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/pfbx",
"PFIS","Peoples Financial Services Corp. ","41.09","$303.83M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/pfis",
"PBCT","People&#39;s United Financial, Inc.","19.09","$6.05B","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/pbct",
"PBCTP","People&#39;s United Financial, Inc.","26.62","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/pbctp",
"PUB","People&#39;s Utah Bancorp","26.65","$474.12M","2015","Finance","Major Banks","http://www.nasdaq.com/symbol/pub",
"PRCP","Perceptron, Inc.","7.64","$71.75M","1992","Capital Goods","Electronic Components","http://www.nasdaq.com/symbol/prcp",
"PPHM","Peregrine Pharmaceuticals Inc.","0.6929","$178.17M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/pphm",
"PPHMP","Peregrine Pharmaceuticals Inc.","22.25","$15.58M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/pphmp",
"PRFT","Perficient, Inc.","17.71","$627.29M","1999","Technology","EDP Services","http://www.nasdaq.com/symbol/prft",
"PFMT","Performant Financial Corporation","1.65","$82.87M","2012","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/pfmt",
"PERF","Perfumania Holdings, Inc","1.7","$26.34M","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/perf",
"PERI","Perion Network Ltd","1.69","$131.09M","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/peri",
